Product ID,Cost of Production ($),Competition Level (1-5),Target Audience,Market Conditions,Desired Profit Margin (%)
1,12700,4,Teenagers,Stable,23
2,8600,2,Professionals,Growing,27
3,15400,3,Seniors,Competitive,20
4,9800,4,Young Adults,Stable,25
5,18700,5,Millennials,Declining,18
6,11200,3,Families,Growing,22
7,13500,4,Professionals,Stable,26
8,9200,2,Teenagers,Competitive,19
9,14300,3,Young Adults,Declining,24
10,9750,4,Millennials,Growing,21
11,12100,2,Families,Stable,28
12,8400,3,Seniors,Competitive,17
13,16000,4,Professionals,Declining,29
14,10300,5,Teenagers,Growing,16
15,17500,3,Young Adults,Stable,30
16,11500,2,Millennials,Competitive,23
17,13200,4,Families,Declining,20
18,8900,3,Seniors,Growing,25
19,14700,5,Professionals,Stable,22
20,9200,4,Teenagers,Competitive,18
21,12900,3,Young Adults,Declining,26
22,9500,2,Millennials,Growing,21
23,14300,4,Families,Stable,29
24,10800,5,Seniors,Competitive,16
25,18000,3,Professionals,Declining,27
26,10200,4,Teenagers,Growing,24
27,16700,2,Young Adults,Stable,19
28,12200,3,Millennials,Competitive,30
29,13700,4,Families,Declining,17
30,8700,5,Seniors,Growing,22
31,15500,3,Professionals,Stable,25
32,9850,2,Teenagers,Competitive,20
33,14100,4,Young Adults,Declining,28
34,9600,3,Millennials,Growing,15
35,14500,5,Families,Stable,31
36,11000,4,Seniors,Competitive,18
37,17400,3,Professionals,Declining,23
38,10700,2,Teenagers,Growing,16
39,18200,4,Young Adults,Stable,28
40,12000,3,Millennials,Competitive,20
41,13400,5,Families,Declining,25
42,9000,3,Seniors,Growing,18
43,15000,4,Professionals,Stable,22
44,10100,2,Teenagers,Competitive,27
45,12600,3,Young Adults,Declining,21
46,8600,4,Millennials,Growing,29
47,14800,5,Families,Stable,16
48,9400,3,Seniors,Competitive,31
49,16100,4,Professionals,Declining,19
50,10500,5,Teenagers,Growing,24
51,17200,3,Young Adults,Stable,17
52,11200,2,Millennials,Competitive,23
53,13300,4,Families,Declining,28
54,8800,3,Seniors,Growing,20
55,15700,5,Professionals,Stable,25
56,9800,4,Teenagers,Competitive,18
57,13000,3,Young Adults,Declining,26
58,9300,2,Millennials,Growing,21
59,14100,4,Families,Stable,29
60,10200,5,Seniors,Competitive,16
61,16500,3,Professionals,Declining,22
62,10400,4,Teenagers,Growing,27
63,13800,3,Young Adults,Stable,20
64,8200,2,Millennials,Competitive,31
65,14700,4,Families,Declining,18
66,9000,3,Seniors,Growing,26
67,15100,5,Professionals,Stable,19
68,10700,4,Teenagers,Competitive,24
69,12300,3,Young Adults,Declining,17
70,8500,2,Millennials,Growing,22
71,15900,4,Families,Stable,27
72,11000,5,Seniors,Competitive,21
73,17000,3,Professionals,Declining,28
74,10800,4,Teenagers,Growing,19
75,14200,3,Young Adults,Stable,30
76,9100,2,Millennials,Competitive,25
77,12800,4,Families,Declining,16
78,8700,5,Seniors,Growing,21
79,15300,3,Professionals,Stable,26
80,10000,4,Teenagers,Competitive,19
81,13400,3,Young Adults,Declining,24
82,9400,2,Millennials,Growing,20
83,14000,4,Families,Stable,29
84,10500,5,Seniors,Competitive,15
85,16700,3,Professionals,Declining,30
86,10600,4,Teenagers,Growing,21
87,13600,3,Young Adults,Stable,26
88,8900,2,Millennials,Competitive,17
89,14500,4,Families,Declining,22
90,9300,5,Seniors,Growing,27
91,15800,3,Professionals,Stable,19
92,10900,4,Teenagers,Competitive,24
93,12400,3,Young Adults,Declining,16
94,8300,2,Millennials,Growing,21
95,14900,4,Families,Stable,28
96,9200,5,Seniors,Competitive,15
97,16300,3,Professionals,Declining,30
98,11200,4,Teenagers,Growing,19
99,14300,3,Young Adults,Stable,25
100,9900,2,Millennials,Competitive,20
101,13100,4,Families,Declining,27
102,9000,5,Seniors,Growing,18
103,15600,3,Professionals,Stable,22
104,10100,4,Teenagers,Competitive,29
105,12500,3,Young Adults,Declining,20
106,8600,2,Millennials,Growing,25
107,14400,4,Families,Stable,16
108,10300,5,Seniors,Competitive,31
109,16800,3,Professionals,Declining,17
110,10700,4,Teenagers,Growing,22
111,13700,3,Young Adults,Stable,27
112,9500,2,Millennials,Competitive,19
113,13900,4,Families,Declining,24
114,9200,5,Seniors,Growing,16
115,16200,3,Professionals,Stable,29
116,11400,4,Teenagers,Competitive,18
117,14700,3,Young Adults,Declining,25
118,8600,2,Millennials,Growing,21
119,15200,4,Families,Stable,30
120,9800,5,Seniors,Competitive,20
121,17000,3,Professionals,Declining,26
